  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -11.250  -0.5398   0.07830   0.07663  -0.0499   1.0000   0.0208
 -11.000  -0.7140   0.04157   0.03953  -0.0765   0.9981   0.0199
 -10.750  -0.7446   0.02659   0.02343  -0.0869   0.9900   0.0215
 -10.500  -0.7185   0.02566   0.02244  -0.0879   0.9868   0.0221
 -10.250  -0.6874   0.02528   0.02205  -0.0893   0.9848   0.0227
 -10.000  -0.6548   0.02507   0.02182  -0.0908   0.9832   0.0233
  -9.750  -0.6229   0.02471   0.02143  -0.0923   0.9814   0.0240
  -9.500  -0.5948   0.02406   0.02070  -0.0932   0.9782   0.0248
  -9.250  -0.5690   0.02319   0.01974  -0.0936   0.9733   0.0255
  -9.000  -0.5434   0.02221   0.01863  -0.0939   0.9691   0.0263
  -8.750  -0.5206   0.02132   0.01760  -0.0935   0.9625   0.0269
  -8.500  -0.4980   0.02045   0.01660  -0.0929   0.9561   0.0275
  -8.250  -0.4756   0.01962   0.01564  -0.0922   0.9482   0.0280
  -8.000  -0.4515   0.01883   0.01472  -0.0918   0.9411   0.0284
  -7.750  -0.4282   0.01805   0.01382  -0.0912   0.9335   0.0287
  -7.500  -0.4042   0.01730   0.01294  -0.0907   0.9256   0.0289
  -7.250  -0.3784   0.01697   0.01252  -0.0903   0.9185   0.0293
  -7.000  -0.3522   0.01677   0.01227  -0.0900   0.9107   0.0296
  -6.750  -0.3266   0.01633   0.01173  -0.0896   0.9029   0.0298
  -6.500  -0.3021   0.01530   0.01055  -0.0892   0.8953   0.0298
  -6.250  -0.2773   0.01432   0.00941  -0.0888   0.8870   0.0297
  -6.000  -0.2520   0.01348   0.00843  -0.0883   0.8792   0.0297
  -5.500  -0.1986   0.01280   0.00760  -0.0878   0.8626   0.0300
  -5.250  -0.1734   0.01182   0.00650  -0.0874   0.8537   0.0299
  -5.000  -0.1475   0.01123   0.00579  -0.0869   0.8435   0.0299
  -4.750  -0.1211   0.01075   0.00524  -0.0866   0.8340   0.0300
  -4.500  -0.0956   0.01010   0.00449  -0.0861   0.8245   0.0303
  -4.250  -0.0710   0.00924   0.00349  -0.0855   0.8157   0.0319
  -4.000  -0.0445   0.00886   0.00305  -0.0852   0.8056   0.0345
  -3.750  -0.0173   0.00868   0.00282  -0.0850   0.7961   0.0362
  -3.500   0.0102   0.00853   0.00262  -0.0848   0.7868   0.0376
  -3.250   0.0377   0.00840   0.00243  -0.0846   0.7778   0.0385
  -3.000   0.0654   0.00828   0.00227  -0.0845   0.7684   0.0392
  -2.750   0.0928   0.00819   0.00212  -0.0843   0.7584   0.0396
  -2.500   0.1205   0.00809   0.00198  -0.0842   0.7476   0.0399
  -2.250   0.1479   0.00799   0.00181  -0.0840   0.7373   0.0407
  -2.000   0.1757   0.00789   0.00167  -0.0838   0.7281   0.0420
  -1.750   0.2032   0.00782   0.00156  -0.0837   0.7193   0.0443
  -1.500   0.2312   0.00771   0.00148  -0.0836   0.7107   0.0484
  -1.250   0.2581   0.00754   0.00139  -0.0834   0.7015   0.0798
  -1.000   0.2852   0.00730   0.00132  -0.0833   0.6929   0.1312
  -0.750   0.3116   0.00706   0.00128  -0.0831   0.6827   0.2049
  -0.500   0.3388   0.00690   0.00127  -0.0830   0.6727   0.2617
  -0.250   0.3655   0.00679   0.00126  -0.0828   0.6614   0.3100
   0.000   0.3928   0.00665   0.00126  -0.0827   0.6513   0.3640
   0.500   0.4441   0.00611   0.00130  -0.0820   0.6297   0.5856
   0.750   0.4682   0.00582   0.00134  -0.0812   0.6182   0.7134
   1.000   0.4901   0.00551   0.00143  -0.0797   0.6064   0.8480
   1.250   0.5145   0.00545   0.00153  -0.0785   0.5944   0.9378
   1.500   0.5496   0.00556   0.00159  -0.0799   0.5799   0.9712
   1.750   0.5903   0.00569   0.00165  -0.0827   0.5640   0.9887
   2.000   0.6383   0.00584   0.00170  -0.0872   0.5448   0.9977
   2.250   0.6708   0.00598   0.00176  -0.0882   0.5271   1.0000
   2.500   0.6951   0.00612   0.00182  -0.0875   0.5103   1.0000
   2.750   0.7190   0.00627   0.00189  -0.0867   0.4920   1.0000
   3.000   0.7425   0.00646   0.00197  -0.0858   0.4694   1.0000
   3.250   0.7646   0.00675   0.00210  -0.0847   0.4362   1.0000
   3.500   0.7860   0.00709   0.00224  -0.0834   0.3985   1.0000
   3.750   0.8089   0.00735   0.00238  -0.0825   0.3744   1.0000
   4.000   0.8325   0.00758   0.00252  -0.0817   0.3577   1.0000
   4.250   0.8563   0.00781   0.00267  -0.0809   0.3427   1.0000
   4.500   0.8813   0.00798   0.00281  -0.0804   0.3323   1.0000
   4.750   0.9059   0.00819   0.00296  -0.0798   0.3228   1.0000
   5.000   0.9316   0.00834   0.00310  -0.0794   0.3164   1.0000
   5.250   0.9571   0.00850   0.00324  -0.0789   0.3094   1.0000
   5.500   0.9819   0.00872   0.00341  -0.0784   0.3007   1.0000
   5.750   1.0081   0.00884   0.00355  -0.0781   0.2963   1.0000
   6.000   1.0333   0.00905   0.00371  -0.0777   0.2861   1.0000
   6.250   1.0585   0.00925   0.00389  -0.0773   0.2746   1.0000
   6.500   1.0833   0.00948   0.00407  -0.0768   0.2634   1.0000
   6.750   1.1087   0.00967   0.00424  -0.0764   0.2537   1.0000
   7.000   1.1328   0.00995   0.00446  -0.0758   0.2400   1.0000
   7.250   1.1568   0.01024   0.00468  -0.0752   0.2232   1.0000
   7.500   1.1784   0.01070   0.00498  -0.0743   0.1952   1.0000
   7.750   1.1971   0.01137   0.00545  -0.0730   0.1590   1.0000
   8.000   1.2169   0.01196   0.00589  -0.0718   0.1332   1.0000
   8.250   1.2365   0.01254   0.00634  -0.0706   0.1114   1.0000
   8.500   1.2569   0.01306   0.00676  -0.0695   0.0958   1.0000
   8.750   1.2773   0.01356   0.00718  -0.0684   0.0843   1.0000
   9.000   1.2992   0.01392   0.00754  -0.0676   0.0768   1.0000
   9.250   1.3178   0.01450   0.00802  -0.0662   0.0635   1.0000
   9.500   1.3336   0.01525   0.00862  -0.0645   0.0472   1.0000
   9.750   1.3392   0.01649   0.00964  -0.0611   0.0193   1.0000
  10.000   1.3545   0.01711   0.01026  -0.0592   0.0167   1.0000
  10.250   1.3704   0.01770   0.01089  -0.0574   0.0147   1.0000
  10.500   1.3861   0.01831   0.01160  -0.0557   0.0133   1.0000
  10.750   1.4000   0.01904   0.01243  -0.0537   0.0122   1.0000
  11.000   1.4152   0.01969   0.01312  -0.0521   0.0119   1.0000
  11.250   1.4299   0.02037   0.01386  -0.0505   0.0115   1.0000
  11.500   1.4435   0.02114   0.01469  -0.0488   0.0111   1.0000
  11.750   1.4562   0.02200   0.01560  -0.0472   0.0107   1.0000
  12.000   1.4677   0.02295   0.01662  -0.0454   0.0103   1.0000
  12.250   1.4782   0.02399   0.01773  -0.0437   0.0099   1.0000
  12.500   1.4876   0.02516   0.01897  -0.0421   0.0095   1.0000
  12.750   1.4945   0.02654   0.02042  -0.0403   0.0091   1.0000
  13.000   1.4981   0.02825   0.02224  -0.0383   0.0087   1.0000
  13.250   1.4960   0.03054   0.02467  -0.0362   0.0083   1.0000
  13.500   1.4915   0.03313   0.02741  -0.0343   0.0081   1.0000
  13.750   1.4994   0.03472   0.02906  -0.0334   0.0080   1.0000
  14.000   1.5057   0.03650   0.03092  -0.0325   0.0079   1.0000
  14.250   1.5110   0.03843   0.03292  -0.0317   0.0078   1.0000
  14.500   1.5148   0.04054   0.03512  -0.0309   0.0077   1.0000
  14.750   1.5170   0.04291   0.03757  -0.0303   0.0076   1.0000
  15.000   1.5181   0.04548   0.04023  -0.0298   0.0075   1.0000
  15.250   1.5175   0.04834   0.04319  -0.0295   0.0074   1.0000
  15.500   1.5154   0.05145   0.04640  -0.0294   0.0072   1.0000
  15.750   1.5122   0.05482   0.04987  -0.0294   0.0071   1.0000
  16.000   1.5077   0.05848   0.05363  -0.0297   0.0070   1.0000
  16.250   1.5015   0.06248   0.05775  -0.0302   0.0069   1.0000
  16.500   1.4943   0.06672   0.06210  -0.0309   0.0068   1.0000
  16.750   1.4856   0.07124   0.06674  -0.0318   0.0067   1.0000
  17.000   1.4764   0.07597   0.07158  -0.0329   0.0066   1.0000
  17.250   1.4658   0.08102   0.07675  -0.0342   0.0065   1.0000
  17.500   1.4541   0.08634   0.08218  -0.0357   0.0064   1.0000
